

软件版本	3.11.19



实验文件路径:	C:\Users\inlab\Desktop\AuNSs400-800.xpt
方案文件路径:	



板编号	板 3
日期	2023/6/29
时间	9:22:19
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A6
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
659	0.359	0.312	0.343	0.260	0.349	0.152																																																																																										
660	0.356	0.309	0.340	0.259	0.347	0.152																																																																																										
661	0.352	0.306	0.337	0.257	0.345	0.152																																																																																										
662	0.349	0.303	0.333	0.255	0.342	0.152																																																																																										
663	0.345	0.300	0.330	0.253	0.340	0.151																																																																																										
664	0.341	0.297	0.327	0.250	0.338	0.151																																																																																										
665	0.338	0.294	0.323	0.249	0.336	0.151																																																																																										
666	0.335	0.291	0.320	0.247	0.334	0.151																																																																																										
667	0.332	0.288	0.317	0.245	0.332	0.151																																																																																										
668	0.328	0.285	0.314	0.243	0.330	0.150																																																																																										
669	0.325	0.283	0.311	0.242	0.328	0.150																																																																																										
670	0.322	0.280	0.308	0.240	0.326	0.150																																																																																										
671	0.319	0.277	0.305	0.238	0.324	0.150																																																																																										
672	0.316	0.275	0.302	0.236	0.322	0.150																																																																																										
673	0.313	0.272	0.299	0.235	0.320	0.149																																																																																										
674	0.310	0.269	0.296	0.233	0.318	0.149																																																																																										
675	0.307	0.267	0.293	0.231	0.316	0.149																																																																																										
676	0.304	0.264	0.290	0.230	0.314	0.149																																																																																										
677	0.301	0.262	0.288	0.228	0.312	0.148																																																																																										
678	0.298	0.259	0.285	0.227	0.310	0.148																																																																																										
679	0.296	0.257	0.282	0.225	0.309	0.148																																																																																										
680	0.293	0.255	0.280	0.223	0.307	0.148																																																																																										
681	0.290	0.252	0.277	0.222	0.305	0.148																																																																																										
682	0.288	0.250	0.274	0.220	0.303	0.147																																																																																										
683	0.285	0.248	0.272	0.219	0.302	0.147																																																																																										
684	0.283	0.245	0.270	0.217	0.300	0.147																																																																																										
685	0.281	0.243	0.267	0.216	0.298	0.147																																																																																										
686	0.278	0.241	0.264	0.214	0.296	0.146																																																																																										
687	0.276	0.239	0.262	0.213	0.294	0.146																																																																																										
688	0.273	0.236	0.259	0.211	0.292	0.146																																																																																										
689	0.271	0.234	0.257	0.210	0.291	0.146																																																																																										
690	0.269	0.232	0.255	0.209	0.289	0.145																																																																																										
691	0.267	0.230	0.253	0.207	0.287	0.145																																																																																										
692	0.265	0.228	0.250	0.206	0.286	0.145																																																																																										
693	0.263	0.226	0.248	0.205	0.284	0.145																																																																																										
694	0.261	0.224	0.246	0.203	0.283	0.144																																																																																										
695	0.259	0.223	0.244	0.202	0.281	0.144																																																																																										
696	0.257	0.221	0.242	0.201	0.280	0.144																																																																																										
697	0.255	0.218	0.239	0.200	0.278	0.144																																																																																										
698	0.253	0.217	0.237	0.199	0.276	0.143																																																																																										
699	0.251	0.215	0.236	0.197	0.275	0.143																																																																																										
700	0.249	0.214	0.234	0.196	0.273	0.143																																																																																										
701	0.247	0.212	0.232	0.195	0.272	0.143																																																																																										
702	0.246	0.210	0.230	0.194	0.271	0.143																																																																																										
703	0.244	0.209	0.228	0.193	0.269	0.142																																																																																										
704	0.242	0.207	0.226	0.192	0.268	0.143																																																																																										
705	0.240	0.206	0.225	0.191	0.267	0.143																																																																																										
706	0.239	0.204	0.223	0.190	0.266	0.143																																																																																										
707	0.237	0.203	0.221	0.189	0.264	0.143																																																																																										
708	0.235	0.201	0.220	0.188	0.263	0.143																																																																																										
709	0.234	0.200	0.218	0.187	0.262	0.143																																																																																										
710	0.233	0.198	0.217	0.186	0.261	0.143																																																																																										
711	0.231	0.197	0.215	0.185	0.260	0.142																																																																																										
712	0.230	0.196	0.214	0.185	0.258	0.142																																																																																										
713	0.229	0.194	0.213	0.184	0.257	0.142																																																																																										
714	0.228	0.193	0.211	0.183	0.256	0.142																																																																																										
715	0.227	0.192	0.210	0.182	0.255	0.141																																																																																										
716	0.226	0.191	0.209	0.181	0.254	0.141																																																																																										
717	0.224	0.189	0.207	0.180	0.253	0.141																																																																																										
718	0.223	0.188	0.206	0.180	0.252	0.141																																																																																										
719	0.222	0.187	0.205	0.179	0.251	0.141																																																																																										
720	0.221	0.186	0.203	0.178	0.249	0.140																																																																																										
721	0.220	0.185	0.202	0.177	0.248	0.140																																																																																										
722	0.219	0.184	0.201	0.177	0.247	0.140																																																																																										
723	0.218	0.183	0.199	0.176	0.246	0.140																																																																																										
724	0.217	0.182	0.199	0.175	0.245	0.140																																																																																										
725	0.216	0.181	0.197	0.175	0.244	0.139																																																																																										
726	0.215	0.180	0.196	0.174	0.243	0.139																																																																																										
727	0.214	0.179	0.195	0.173	0.242	0.139																																																																																										
728	0.213	0.178	0.194	0.173	0.241	0.139																																																																																										
729	0.212	0.177	0.193	0.172	0.241	0.138																																																																																										
730	0.211	0.176	0.192	0.172	0.240	0.138																																																																																										
731	0.211	0.176	0.191	0.172	0.239	0.138																																																																																										
732	0.210	0.175	0.191	0.171	0.238	0.138																																																																																										
733	0.209	0.174	0.190	0.171	0.238	0.138																																																																																										
734	0.209	0.174	0.189	0.171	0.237	0.138																																																																																										
735	0.208	0.173	0.188	0.170	0.236	0.137																																																																																										
